step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
21,CASH_IN,98414.1,C1038184153,8235019.24,8333433.33,C76500199,1142176.87,1043762.77,0,0
19,CASH_IN,144912.92,C1181413784,23600000.0,23800000.0,C280663936,3159126.9,2986382.17,0,0
39,PAYMENT,27334.73,C1977716308,180388.65,153053.92,M1605457694,0.0,0.0,0,0
14,CASH_OUT,302887.12,C658290842,0.0,0.0,C1013031913,6621798.09,7663724.87,0,0
11,PAYMENT,13382.67,C448329059,67084.1,53701.42,M2107791864,0.0,0.0,0,0
15,CASH_IN,115764.71,C790338865,255752.0,371516.71,C1518712038,374465.27,258700.56,0,0
22,PAYMENT,4042.41,C130528686,140413.0,136370.59,M981647728,0.0,0.0,0,0
42,CASH_IN,114675.76,C133485333,3542182.29,3656858.05,C1019980091,818809.66,704133.9,0,0
13,CASH_OUT,138341.91,C1243830274,0.0,0.0,C1430887733,410372.36,548714.26,0,0
94,CASH_OUT,80133.42,C164210827,51582.0,0.0,C633889017,2393.74,82527.16,0,0
42,PAYMENT,30426.33,C1933726458,149565.0,119138.67,M700937632,0.0,0.0,0,0
41,CASH_OUT,121359.02,C1853738608,49941.0,0.0,C931949675,513323.75,634682.77,0,0
39,PAYMENT,5089.65,C727332376,29149.0,24059.35,M794563640,0.0,0.0,0,0
42,CASH_OUT,502651.53,C960725081,0.0,0.0,C571063338,907604.04,1218863.65,0,0
40,PAYMENT,3593.23,C1170863714,219430.93,215837.7,M686646576,0.0,0.0,0,0
94,CASH_IN,508503.65,C1050609618,2779387.18,3287890.83,C791270332,2455030.44,1946526.79,0,0
40,PAYMENT,10526.0,C53590966,229701.48,219175.49,M1899113157,0.0,0.0,0,0
34,PAYMENT,23798.69,C480279174,226716.18,202917.49,M352310961,0.0,0.0,0,0
39,CASH_IN,217435.51,C1466544744,24100000.0,24300000.0,C824180737,384059.32,166623.81,0,0
16,PAYMENT,32622.96,C802158234,254952.76,222329.8,M320888223,0.0,0.0,0,0
18,CASH_IN,77002.16,C1521698162,3284171.05,3361173.2,C1733446642,762079.58,685077.42,0,0
39,PAYMENT,3227.74,C1026554938,0.0,0.0,M11612693,0.0,0.0,0,0
9,PAYMENT,4236.25,C1903275242,739707.04,735470.79,M760613859,0.0,0.0,0,0
36,TRANSFER,868923.51,C961254809,599586.35,0.0,C1212645159,2745027.35,3613950.87,0,0
17,PAYMENT,1867.1,C1254443610,608492.19,606625.09,M1854028270,0.0,0.0,0,0
19,PAYMENT,10072.88,C537624582,597542.61,587469.73,M2072960764,0.0,0.0,0,0
13,TRANSFER,227116.76,C1243779059,0.0,0.0,C1439048112,1522167.95,1749284.72,0,0
17,CASH_OUT,242429.12,C1517046052,77944.75,0.0,C2114646172,1159978.29,1091113.21,0,0
15,TRANSFER,76115.43,C528611596,0.0,0.0,C1801437500,1627072.77,1703188.2,0,0
40,CASH_OUT,312120.52,C2000748528,0.0,0.0,C2116383624,397103.06,709223.58,0,0
41,CASH_OUT,220502.93,C2061459423,0.0,0.0,C493850886,529147.61,749650.54,0,0
22,PAYMENT,2643.33,C172726156,10163.0,7519.67,M316686536,0.0,0.0,0,0
48,CASH_OUT,159968.14,C1993042215,0.0,0.0,C331114677,1201549.62,1361517.76,0,0
12,PAYMENT,56936.8,C1871091391,783756.57,726819.76,M1601518353,0.0,0.0,0,0
18,PAYMENT,24628.84,C885949898,0.0,0.0,M1948414489,0.0,0.0,0,0
7,TRANSFER,675184.96,C420266910,2140.0,0.0,C405881980,0.0,392128.01,0,0
36,CASH_IN,18531.03,C777226265,11000000.0,11000000.0,C666300015,23500000.0,25100000.0,0,0
43,CASH_OUT,316025.31,C1935587123,466141.0,150115.69,C932184785,2217110.61,2349523.86,0,0
18,PAYMENT,3810.3,C1563914171,0.0,0.0,M1699664872,0.0,0.0,0,0
18,PAYMENT,4609.33,C1925110776,10933.0,6323.67,M386363662,0.0,0.0,0,0
15,CASH_OUT,153733.56,C9427241,0.0,0.0,C239243471,232785.66,386519.22,0,0
15,CASH_IN,244106.79,C747871825,151933.0,396039.79,C1627044897,1270337.4,910057.18,0,0
19,CASH_IN,44896.4,C597903776,74.0,44970.4,C1339244760,251474.68,206578.28,0,0
13,CASH_OUT,404289.88,C663742352,92688.0,0.0,C2042243783,1722913.99,2127203.88,0,0
14,CASH_OUT,15503.41,C1141037805,0.0,0.0,C951732022,698898.69,1533915.17,0,0
8,CASH_OUT,209531.8,C968945627,0.0,0.0,C1750956965,562032.13,2884719.28,0,0
19,CASH_IN,93057.05,C1453531471,12600000.0,12700000.0,C2053509293,1390457.83,1297400.78,0,0
17,CASH_OUT,178075.04,C1700114273,14888.0,0.0,C308795580,6533.15,184608.19,0,0
17,PAYMENT,27710.37,C290233073,267613.64,239903.26,M806921026,0.0,0.0,0,0
36,PAYMENT,24429.68,C329581492,82631.54,58201.86,M44827923,0.0,0.0,0,0
17,CASH_OUT,190364.68,C890344776,354.0,0.0,C1483073673,0.0,190364.68,0,0
34,CASH_IN,47681.96,C1354349969,2322199.53,2369881.49,C661729718,6137005.61,6089323.65,0,0
40,CASH_IN,358962.23,C752391310,1182327.81,1541290.04,C765496781,1659226.2,1300263.97,0,0
42,CASH_IN,92694.69,C1037783185,100096.0,192790.69,C1502830611,14103.6,0.0,0,0
41,PAYMENT,55284.96,C531822364,162649.13,107364.17,M451482572,0.0,0.0,0,0
16,CASH_IN,478853.83,C902591442,1988041.03,2466894.87,C807210147,1816345.64,1238952.57,0,0
40,CASH_OUT,113130.98,C744330632,0.0,0.0,C1234979787,6363256.58,6476387.57,0,0
47,PAYMENT,2563.34,C836783295,0.0,0.0,M1879576833,0.0,0.0,0,0
17,PAYMENT,429.48,C623434063,0.0,0.0,M1098856199,0.0,0.0,0,0
37,CASH_OUT,74154.31,C765412639,0.0,0.0,C1908837011,7610183.85,7684338.16,0,0
18,PAYMENT,5612.17,C395923339,329748.35,324136.19,M1538489926,0.0,0.0,0,0
35,PAYMENT,9384.95,C1852082481,55192.0,45807.05,M1213537509,0.0,0.0,0,0
15,TRANSFER,315207.17,C271561000,252722.0,0.0,C1500398982,0.0,315207.17,0,0
39,TRANSFER,605583.47,C1192339955,0.0,0.0,C671467999,2337641.08,2943224.54,0,0
12,CASH_IN,65652.4,C1646650938,2636796.51,2702448.91,C977112977,222920.26,0.0,0,0
94,CASH_IN,164360.12,C303505246,2574446.41,2738806.53,C1412291550,241196.49,76836.37,0,0
34,CASH_OUT,431553.33,C1603154086,116384.0,0.0,C333176886,0.0,431553.33,0,0
38,PAYMENT,2809.92,C922727200,367957.11,365147.19,M1228958395,0.0,0.0,0,0
40,PAYMENT,4833.67,C1688169345,396.0,0.0,M246466173,0.0,0.0,0,0
16,CASH_OUT,219328.42,C1290926403,0.0,0.0,C414958387,894301.56,1113629.98,0,0
44,TRANSFER,65888.27,C1535498253,0.0,0.0,C652014681,615181.34,681069.61,0,0
18,CASH_OUT,89693.54,C532403272,2195116.19,2105422.65,C587725065,179615.0,147060.06,0,0
33,CASH_OUT,62069.41,C1057548442,18078.0,0.0,C444626371,0.0,62069.41,0,0
10,CASH_IN,199187.75,C2094188394,5977527.77,6176715.53,C1320515149,5604746.05,5405558.3,0,0
17,CASH_OUT,21529.43,C1217274664,49949.0,28419.57,C478323801,10600.0,32129.43,0,0
14,CASH_IN,179492.84,C1072800963,3471370.99,3471370.99,C644727351,3471370.99,3521295.23,0,0
17,TRANSFER,880548.56,C1792992619,1502.0,0.0,C82824506,0.0,880548.56,0,0
45,CASH_OUT,320338.86,C1932434926,0.0,0.0,C387569819,776126.24,1096465.11,0,0
16,CASH_OUT,369931.69,C1929757502,56984.0,0.0,C1055491325,1011622.47,1381554.16,0,0
35,CASH_OUT,573846.95,C1378378000,303194.21,0.0,C2072431839,3078681.28,3652528.22,0,0
16,CASH_OUT,92380.28,C1842940867,0.0,0.0,C1365096499,156601.81,248982.08,0,0
34,CASH_OUT,414.2,C1029824571,0.0,0.0,C331874032,1175.0,0.0,0,0
36,CASH_OUT,183498.14,C982357269,0.0,0.0,C105073726,318881.17,830718.44,0,0
36,CASH_OUT,106138.72,C1256517640,0.0,0.0,C888149804,185895.98,292034.7,0,0
12,CASH_IN,73179.72,C665872274,7434.0,80613.72,C576829100,0.0,0.0,0,0
8,PAYMENT,3635.63,C1019613931,12108.0,8472.37,M710090920,0.0,0.0,0,0
19,CASH_OUT,17609.96,C1799057992,0.0,0.0,C1256930484,9247369.17,9264979.13,0,0
15,CASH_IN,119588.85,C923986094,32123.0,151711.85,C1911326789,130589.27,11000.42,0,0
12,CASH_IN,64549.91,C2134014364,10200000.0,10300000.0,C1734127925,240851.3,176301.39,0,0
37,PAYMENT,6060.8,C818068114,0.0,0.0,M696560844,0.0,0.0,0,0
44,PAYMENT,1893.23,C120242349,0.0,0.0,M23835698,0.0,0.0,0,0
12,CASH_IN,387145.97,C554180616,3470664.73,3857810.7,C1901482172,2360528.85,2918169.69,0,0
10,PAYMENT,9200.83,C962235652,118525.01,109324.18,M1442222729,0.0,0.0,0,0
37,DEBIT,254.19,C2045634829,203505.15,203250.96,C449919205,120671.0,120925.19,0,0
19,CASH_IN,71271.25,C1438383953,2768792.63,2840063.87,C1805037453,475922.73,404651.48,0,0
44,CASH_OUT,198150.28,C1881643967,0.0,0.0,C1094062146,797732.25,995882.54,0,0
18,TRANSFER,348796.64,C1435851551,0.0,0.0,C1760015913,15800000.0,16200000.0,0,0
47,CASH_IN,105512.64,C187297040,784680.85,890193.49,C1105086478,658198.45,552685.81,0,0
38,PAYMENT,16814.75,C872518690,15200.0,0.0,M110753415,0.0,0.0,0,0
13,CASH_OUT,96129.02,C979546148,0.0,0.0,C1084435493,100669.92,0.0,0,0
19,CASH_OUT,2421.39,C1418236154,0.0,0.0,C822975114,661987.02,664408.41,0,0
38,PAYMENT,33348.97,C2094975102,0.0,0.0,M1429254202,0.0,0.0,0,0
43,PAYMENT,28172.57,C1805636044,169381.83,141209.26,M1896947860,0.0,0.0,0,0
44,CASH_OUT,624804.18,C1828398267,0.0,0.0,C1481388219,716537.66,1341341.84,0,0
33,CASH_IN,41857.47,C621556070,2834269.6,2876127.06,C1854952224,403484.48,361627.02,0,0
19,CASH_OUT,213475.63,C337587107,51779.0,0.0,C1102456557,102521.21,381527.19,0,0
17,PAYMENT,24026.43,C159618651,8890.88,0.0,M289331446,0.0,0.0,0,0
41,CASH_IN,83603.03,C37967609,14200000.0,14300000.0,C21026953,978064.41,894461.39,0,0
9,CASH_OUT,2539898.07,C728718059,2539898.07,0.0,C1013511446,968.0,1842864.22,1,0
22,PAYMENT,14203.74,C1121644290,120967.68,106763.94,M1116726898,0.0,0.0,0,0
39,PAYMENT,17876.66,C1838423641,0.0,0.0,M21648307,0.0,0.0,0,0
9,TRANSFER,460468.87,C1112533593,0.0,0.0,C111210112,2033123.44,2493592.32,0,0
12,CASH_IN,277779.79,C984153931,2882.0,280661.79,C771123503,1684898.85,1794265.45,0,0
9,CASH_OUT,83716.73,C1562651057,13879.0,0.0,C99725561,0.0,333523.48,0,0
36,CASH_IN,172159.68,C1081064334,3279520.44,3451680.12,C1061045465,306729.44,136311.95,0,0
14,CASH_OUT,453642.91,C599872422,0.0,0.0,C672137778,1265502.09,1719145.0,0,0
10,PAYMENT,5041.48,C1828823758,19919.0,14877.52,M1936060366,0.0,0.0,0,0
36,CASH_OUT,252024.61,C1364912403,16143.0,0.0,C1695557185,1159775.25,1249196.0,0,0
18,PAYMENT,12406.55,C720531349,29791.0,17384.45,M95228062,0.0,0.0,0,0
46,PAYMENT,10060.65,C1573244709,105940.0,95879.35,M1338901174,0.0,0.0,0,0
21,PAYMENT,13564.47,C1602902554,28194.0,14629.53,M1607496,0.0,0.0,0,0
20,PAYMENT,14466.54,C452865337,0.0,0.0,M661263078,0.0,0.0,0,0
40,PAYMENT,8149.72,C1050049817,0.0,0.0,M1443594943,0.0,0.0,0,0
46,PAYMENT,44497.8,C2097428000,0.0,0.0,M939656547,0.0,0.0,0,0
43,CASH_OUT,124834.14,C63225331,0.0,0.0,C1928596234,596082.4,720916.54,0,0
15,CASH_OUT,87468.24,C966653469,397.0,0.0,C957966299,0.0,87468.24,0,0
20,PAYMENT,2885.14,C174180588,317649.79,314764.66,M2103132538,0.0,0.0,0,0
13,CASH_OUT,205937.02,C821147835,0.0,0.0,C584814955,389495.43,595432.45,0,0
9,CASH_IN,300112.83,C182050163,52207.0,352319.83,C193270934,1539392.19,1511488.28,0,0
33,CASH_OUT,384667.11,C1591242152,11197.0,0.0,C1185009249,21449.0,371050.63,0,0
43,PAYMENT,16334.35,C79982277,297886.37,281552.02,M2101116795,0.0,0.0,0,0
19,PAYMENT,10267.34,C1344981837,0.0,0.0,M1595196530,0.0,0.0,0,0
46,CASH_OUT,12632.47,C1218335201,81803.0,69170.53,C2112017516,1483335.93,1495968.4,0,0
17,CASH_OUT,254108.94,C530931954,0.0,0.0,C1022458520,987753.82,1241862.76,0,0
45,CASH_OUT,64752.25,C222679169,0.0,0.0,C472316404,3456751.87,3521504.12,0,0
35,CASH_IN,71783.57,C646166582,2564955.58,2636739.16,C1112821604,249913.02,178129.44,0,0
19,PAYMENT,14191.66,C867205106,5803.0,0.0,M680861305,0.0,0.0,0,0
14,CASH_OUT,15176.09,C1222596540,0.0,0.0,C1518843004,142878.09,250335.32,0,0
37,CASH_IN,94583.67,C729411495,18500000.0,18600000.0,C1558301504,750528.67,655945.0,0,0
34,CASH_OUT,109870.97,C349439645,293405.0,183534.03,C1013511446,9163271.45,9072900.69,0,0
9,CASH_OUT,405862.32,C1847640559,102980.0,0.0,C444613285,2070969.6,2476831.92,0,0
18,CASH_OUT,9770.02,C507202214,0.0,0.0,C1294693150,66285.54,76055.56,0,0
17,CASH_OUT,58348.9,C187840968,34486.0,0.0,C649607866,3573761.7,3632110.6,0,0
37,PAYMENT,5552.66,C1109406539,0.0,0.0,M443472620,0.0,0.0,0,0
13,CASH_OUT,132607.05,C1967838227,0.0,0.0,C1973734872,994501.45,1127108.5,0,0
13,PAYMENT,10331.41,C943803738,356161.31,345829.9,M2036393753,0.0,0.0,0,0
12,PAYMENT,13402.51,C91692806,449609.19,436206.67,M375698150,0.0,0.0,0,0
43,CASH_IN,129691.62,C1686540110,3432539.21,3562230.83,C612173346,2259833.28,2130141.66,0,0
14,PAYMENT,1709.46,C28568303,0.0,0.0,M1670323298,0.0,0.0,0,0
12,PAYMENT,14243.03,C758820077,195982.91,181739.88,M177115679,0.0,0.0,0,0
16,PAYMENT,19452.41,C1369210609,285.0,0.0,M1808247783,0.0,0.0,0,0
21,PAYMENT,2557.9,C434180402,9275.0,6717.1,M2006143421,0.0,0.0,0,0
9,PAYMENT,30105.01,C1774261600,44399.0,14293.99,M1939897078,0.0,0.0,0,0
14,CASH_IN,75075.66,C1336365960,11100000.0,11100000.0,C1754042370,567391.51,409276.47,0,0
44,CASH_IN,71708.72,C30191270,12200000.0,12300000.0,C302256620,1620022.55,1548313.83,0,0
23,PAYMENT,15717.56,C1667246700,62616.0,46898.44,M1223199880,0.0,0.0,0,0
13,CASH_OUT,113866.13,C25994906,655746.0,541879.87,C628858539,0.0,32707.99,0,0
13,PAYMENT,13246.46,C303958903,0.0,0.0,M314716747,0.0,0.0,0,0
39,CASH_OUT,270134.74,C738781425,0.0,0.0,C1388762972,6769543.37,7039678.11,0,0
37,PAYMENT,39329.38,C1062890768,263731.53,224402.15,M1499147464,0.0,0.0,0,0
43,TRANSFER,410941.75,C609570281,125725.0,0.0,C287353036,0.0,410941.75,0,0
44,CASH_IN,35903.42,C1976419003,11000000.0,11000000.0,C1276947600,6909135.48,6567837.59,0,0
18,CASH_IN,269427.21,C671800652,258246.0,527673.21,C940554108,24212.5,0.0,0,0
14,PAYMENT,13797.44,C1238107994,63539.0,49741.56,M83715391,0.0,0.0,0,0
17,CASH_IN,17234.91,C1541889995,3841047.28,3858282.19,C801899764,4215274.08,4198039.17,0,0
43,CASH_OUT,443487.65,C1100724952,0.0,0.0,C1041891444,850333.91,1293821.56,0,0
39,PAYMENT,20572.22,C1063621385,80936.0,60363.78,M1285232180,0.0,0.0,0,0
46,PAYMENT,34402.31,C133936823,0.0,0.0,M674790472,0.0,0.0,0,0
42,PAYMENT,3938.55,C1241130386,0.0,0.0,M766917433,0.0,0.0,0,0
17,CASH_IN,273791.33,C1733308568,11000000.0,11300000.0,C149066018,1432731.06,1158939.74,0,0
12,CASH_IN,37631.89,C174817462,4843113.34,4880745.23,C805150825,59062.18,252496.5,0,0
9,CASH_OUT,18280.21,C1448285310,0.0,0.0,C919146414,50828.0,127018.78,0,0
35,CASH_OUT,261831.94,C1135622909,19301.42,0.0,C1493103616,1098045.69,1359877.63,0,0
25,CASH_OUT,199003.99,C1247481470,0.0,0.0,C976896991,2665734.96,2864738.95,0,0
44,CASH_OUT,76665.96,C1226070248,0.0,0.0,C267872884,728655.95,809606.26,0,0
46,PAYMENT,5315.57,C830516941,0.0,0.0,M29987086,0.0,0.0,0,0
20,PAYMENT,18057.54,C1050546477,0.0,0.0,M1687519111,0.0,0.0,0,0
13,PAYMENT,7727.96,C875022216,5085.0,0.0,M2139980259,0.0,0.0,0,0
11,CASH_OUT,195042.19,C353809372,714117.05,519074.86,C1441370724,1857181.69,2247050.07,0,0
43,PAYMENT,10901.16,C2137830385,19825.0,8923.84,M1366951311,0.0,0.0,0,0
37,PAYMENT,9307.36,C333540138,20950.75,11643.38,M1183385535,0.0,0.0,0,0
9,CASH_IN,42592.71,C528272795,30400000.0,30400000.0,C691620198,162932.62,236332.56,0,0
11,CASH_OUT,220157.5,C1052910344,15635.0,0.0,C1013561013,132238.83,352396.34,0,0
41,CASH_OUT,81516.12,C725787577,221211.34,139695.22,C161038819,3492297.94,3573814.06,0,0
41,PAYMENT,1541.4,C104314520,39336.53,37795.13,M2013749623,0.0,0.0,0,0
37,PAYMENT,1490.42,C103566143,0.0,0.0,M1461244742,0.0,0.0,0,0
9,CASH_IN,214614.46,C216699685,6076795.24,6291409.7,C1649284980,442746.45,595503.98,0,0
17,PAYMENT,9913.56,C1881687839,21430.0,11516.44,M1416048007,0.0,0.0,0,0
39,PAYMENT,2387.91,C1196482150,165504.0,163116.09,M557139790,0.0,0.0,0,0
10,PAYMENT,25786.28,C1846903044,849767.22,823980.93,M1583586040,0.0,0.0,0,0
18,TRANSFER,699321.45,C2052713348,1329764.93,630443.48,C110416257,3338303.71,4633827.95,0,0
46,PAYMENT,9235.22,C956598663,42130.0,32894.78,M79083918,0.0,0.0,0,0
40,TRANSFER,485376.18,C1746528471,15.0,0.0,C154608804,0.0,485376.18,0,0
22,TRANSFER,125287.16,C1804389219,0.0,0.0,C1269381753,282225.73,407512.89,0,0
89,TRANSFER,268230.43,C163362068,268230.43,0.0,C2101762472,0.0,0.0,1,0
13,PAYMENT,17327.09,C381939349,0.0,0.0,M951423496,0.0,0.0,0,0
13,PAYMENT,15749.54,C2014451048,0.0,0.0,M277160935,0.0,0.0,0,0
18,PAYMENT,33926.92,C562209214,147248.0,113321.08,M967693538,0.0,0.0,0,0
41,PAYMENT,16032.52,C741379039,665486.7,649454.18,M1964292971,0.0,0.0,0,0
17,PAYMENT,425.79,C1358231283,0.0,0.0,M77217918,0.0,0.0,0,0
8,CASH_OUT,5860.83,C1283322267,2055.0,0.0,C1283595719,26280.36,0.0,0,0
48,PAYMENT,37494.18,C1233674834,30676.82,0.0,M1369557428,0.0,0.0,0,0
13,CASH_OUT,411985.12,C688243345,39018.0,0.0,C1427398085,451465.7,863450.82,0,0
20,TRANSFER,614144.05,C1444026324,0.0,0.0,C179175231,2702106.71,3316250.76,0,0
42,CASH_IN,308434.17,C1023199332,17800000.0,18100000.0,C842723213,3191625.19,2883191.02,0,0
39,CASH_IN,71124.06,C293705129,11216.0,82340.06,C912657395,4428007.96,4516547.77,0,0
8,TRANSFER,1862201.76,C1869931542,20241.0,0.0,C614438306,51225.52,1138741.39,0,0
10,CASH_OUT,366652.05,C461775952,8018.0,0.0,C1084375280,0.0,366652.05,0,0
47,PAYMENT,12499.72,C1451437051,100106.0,87606.28,M603346581,0.0,0.0,0,0
18,CASH_IN,307350.52,C1473241886,58449.0,365799.52,C1165648881,96.0,0.0,0,0
17,CASH_IN,500039.87,C1023308747,2409809.85,2909849.73,C338862629,2368885.32,1868845.45,0,0
44,PAYMENT,100.43,C1575038766,4.0,0.0,M366541345,0.0,0.0,0,0
14,CASH_IN,113333.33,C1112507178,30565.0,143898.33,C636855408,21105.0,0.0,0,0
43,CASH_OUT,336517.43,C339164024,26559.0,0.0,C1960032463,1199486.2,1536003.62,0,0
9,CASH_IN,95861.66,C1947136968,3369882.72,3465744.38,C1870347515,248886.0,0.0,0,0
37,PAYMENT,16169.75,C277204536,0.0,0.0,M1689950972,0.0,0.0,0,0
22,PAYMENT,11721.66,C1150054834,106550.0,94828.34,M106609253,0.0,0.0,0,0
20,PAYMENT,15604.08,C210328129,0.0,0.0,M1179463070,0.0,0.0,0,0
18,CASH_OUT,40639.49,C746321884,30133.0,0.0,C1583399426,1133704.92,1174344.42,0,0
12,CASH_IN,29200.95,C902213087,18100000.0,18100000.0,C1383409790,77743.11,692050.19,0,0
11,PAYMENT,2165.48,C881593492,0.0,0.0,M1109906118,0.0,0.0,0,0
19,PAYMENT,1730.51,C1689681252,323954.33,322223.82,M226370919,0.0,0.0,0,0
37,PAYMENT,1973.42,C1248266701,1444052.95,1442079.53,M1518993938,0.0,0.0,0,0
36,CASH_OUT,607947.86,C224005641,5479.0,0.0,C495765212,0.0,607947.86,0,0
35,PAYMENT,5585.13,C9029623,338710.7,333125.58,M678415373,0.0,0.0,0,0
39,PAYMENT,513.77,C1816455618,7431.0,6917.23,M130544607,0.0,0.0,0,0
40,PAYMENT,12410.8,C1536920602,156863.54,144452.74,M2056214821,0.0,0.0,0,0
33,CASH_IN,360159.51,C1112817754,1069581.04,1429740.55,C637773677,2883879.14,2480979.38,0,0
20,CASH_OUT,49334.02,C1643883446,90563.0,41228.98,C474350719,0.0,49334.02,0,0
39,TRANSFER,715127.7,C518083344,0.0,0.0,C498744437,1803720.94,2388638.59,0,0
47,PAYMENT,16851.09,C38713635,0.0,0.0,M822917179,0.0,0.0,0,0
